id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
d02f9471-c837-488a-a3fc-a4e20e9cd3fb,Capitán Cachopo,Fracture,Unrated,Jett,Duelista,12,3,9,5,"['Chiste sad002', 'angelutrix', 'Symiq', 'Axyela2508']",Unrated,,"['Jett', 'Phoenix', 'Astra', 'KAY/O', 'Sage']",222.059,1,4,1,8,4,1786052925,"Thursday, August 06, 2026 09:48 PM"
e0853b37-7378-44db-8ccf-9a5249604018,Capitán Cachopo,Bind,Unrated,Raze,Duelista,11,4,8,9,"['Chiste sad002', 'Axyela2508', 'angelutrix', 'Bubbles']",Unrated,,"['Raze', 'Killjoy', 'Harbor', 'Brimstone', 'Gekko']",195.333,3,2,2,8,5,1786051359,"Thursday, August 06, 2026 09:22 PM"
40eac06c-89b5-408d-893c-277ede158430,Capitán Cachopo,Split,Competitive,Brimstone,Controlador,30,8,20,10,"['Chiste sad002', 'chake', 'Fil1pp', 'Axyela2508']",Silver,3.0,"['Brimstone', 'Neon', 'Tejo', 'Sage', 'Cypher']",324.269,5,2,3,14,12,1786048321,"Thursday, August 06, 2026 08:32 PM"
bcd3b7d8-741e-48e5-ada1-b56a5dc06ad6,Capitán Cachopo,Breeze,Competitive,Phoenix,Duelista,9,1,20,4,"['Rauul03', '22acosador22', 'Miau', 'isaacvargas0']",Silver,3.0,"['Phoenix', 'Gekko', 'Brimstone', 'Killjoy', 'Chamber']",136.6,3,1,0,7,13,1785955053,"Wednesday, August 05, 2026 06:37 PM"
87c87918-a588-409c-9f74-1ac710af8284,Capitán Cachopo,Haven,Competitive,Phoenix,Duelista,6,3,15,1,"['Acetilcisteína', 'EuJuroQueAcerto', 'QuemTeEnsinou', 'Ruperta']",Silver,3.0,"['Fade', 'Phoenix', 'Astra', 'Vyse', 'Sage']",100.0,0,3,0,3,11,1785953153,"Wednesday, August 05, 2026 06:05 PM"
e5a62072-25e2-468e-bcda-448d910e2341,Capitán Cachopo,Ascent,Competitive,Chamber,Centinela,27,2,11,11,"['Axyela2508', 'killedbyclove', 'Zyrxn', 'Alvaro28']",Silver,3.0,"['Miks', 'Jett', 'Sage', 'Sova', 'Chamber']",348.682,7,2,1,13,9,1788298175,"Tuesday, September 01, 2026 09:29 PM"
d30299de-a88f-4288-9d9a-5efd23543009,Capitán Cachopo,Split,Competitive,Skye,Iniciador,30,10,21,24,"['Soy emo', 'Alvaro28', 'Tut4nkamon', 'Axyela2508']",Silver,3.0,"['Miks', 'Phoenix', 'Skye', 'Chamber', 'Killjoy']",369.346,4,4,0,12,14,1788295208,"Tuesday, September 01, 2026 08:40 PM"
0ec0f61a-b33c-4f21-ae3a-47e0129057be,Capitán Cachopo,Haven,Competitive,Sova,Iniciador,26,6,15,18,"['PurpleCat', 'cuki', 'Axyela2508', 'Alvaro28']",Unrated,,"['Reyna', 'Sova', 'Vyse', 'Miks', 'Phoenix']",342.682,3,1,0,9,13,1788293014,"Tuesday, September 01, 2026 08:03 PM"
11941135-f687-43b1-967b-144499b39713,Capitán Cachopo,Sunset,Competitive,Breach,Iniciador,39,5,21,24,"['Alvaro28', 'ParteTangas', 'TAFE', 'Axyela2508']",Silver,3.0,"['Sage', 'Breach', 'Reyna', 'Cypher', 'Miks']",394.786,5,4,0,14,14,1788345909,"Wednesday, September 02, 2026 10:45 AM"
d7965452-51c0-4a7e-93d1-e38be6393e7e,Capitán Cachopo,Lotus,Competitive,Harbor,Controlador,18,6,15,13,"['Alvaro28', 'alvarodeljake', 'Axyela2508', 'FlikiOneTap']",Silver,3.0,"['Phoenix', 'Fade', 'Harbor', 'Sage', 'Cypher']",285.947,2,4,0,6,13,1788343970,"Wednesday, September 02, 2026 10:12 AM"
593b2f9e-61ed-4227-8b92-c7bc334493ba,Capitán Cachopo,Summit,Competitive,Harbor,Controlador,30,13,18,18,"['LIndoMIndomable', 'Axyela2508', 'Chiste sad002', 'BeemoZX']",Silver,3.0,"['Harbor', 'Sova', 'Sage', 'Neon', 'Reyna']",337.462,4,1,1,14,12,1788382899,"Wednesday, September 02, 2026 09:01 PM"
492ffba2-951b-4036-83e1-1204b2ae5b8c,Capitán Cachopo,Split,Competitive,Skye,Iniciador,23,5,16,15,"['Chiste sad002', 'Pitt', 'MokkGz', 'Axyela2508']",Silver,3.0,"['Neon', 'Jett', 'Omen', 'Skye', 'Killjoy']",333.857,2,3,0,8,13,1788380544,"Wednesday, September 02, 2026 08:22 PM"
1dbd2787-150c-4d14-bfca-e549eab1ffe7,Capitán Cachopo,Sunset,Competitive,Breach,Iniciador,28,5,12,15,"['burp cat', 'pup', 'Alvaro28', 'Axyela2508']",Silver,3.0,"['Sage', 'Reyna', 'Breach', 'Raze', 'Miks']",345.0,4,2,1,13,10,1788561560,"Friday, September 04, 2026 10:39 PM"
7f0d00af-a1d2-4519-9aea-1889ec5b0e65,Capitán Cachopo,Lotus,Competitive,Harbor,Controlador,21,4,16,17,"['Axyela2508', 'Esperanza', 'Niko', 'Alvaro28']",Silver,3.0,"['Fade', 'Harbor', 'Reyna', 'Killjoy', 'Phoenix']",323.55,5,2,0,7,13,1788559312,"Friday, September 04, 2026 10:01 PM"
f63aa389-0057-41ed-ab36-a1625597c462,Capitán Cachopo,Abyss,Competitive,Chamber,Centinela,26,7,15,12,"['versura', 'peaxh', 'Alvaro28', 'Axyela2508']",Silver,3.0,"['Jett', 'Vyse', 'Sova', 'Chamber', 'Miks']",338.955,3,1,1,13,9,1788556700,"Friday, September 04, 2026 09:18 PM"
6b41ba6b-a035-4c98-9daf-5be76ebc9b88,Capitán Cachopo,Sunset,Competitive,Sova,Iniciador,12,5,11,8,"['GHOSTDHG10', 'Axyela2508', 'mamipito', 'BlackEnd']",Silver,3.0,"['Phoenix', 'Sage', 'Sova', 'Omen', 'Reyna']",252.667,2,3,0,2,10,1788721213,"Sunday, September 06, 2026 07:00 PM"
c1776d95-ba49-4d9d-b91d-df26b1c2aa83,Capitán Cachopo,Abyss,Competitive,Phoenix,Duelista,16,9,22,7,"['Yoriel', 'Sgaeyl', 'Sebzgi', 'Alvaro28']",Silver,3.0,"['Chamber', 'Phoenix', 'Miks', 'Fade', 'Reyna']",173.75,3,6,0,14,14,1789310842,"Sunday, September 13, 2026 02:47 PM"
a0555fb5-de6e-43d3-aab0-dca23aebfc53,Capitán Cachopo,Abyss,Competitive,Sova,Iniciador,11,6,12,7,"['SKU', 'AssassinMirakuru', 'Alvaro28', 'Kazeroshi']",Silver,3.0,"['Phoenix', 'Sova', 'Brimstone', 'Chamber', 'Jett']",166.421,0,0,1,13,6,1789308670,"Sunday, September 13, 2026 02:11 PM"
