id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
3bf15283-042a-4c49-88ad-8647c87d76f2,NIKE  vs  Adidas,Abyss,Competitive,Reyna,Duelista,14,9,17,11,"['Im Fruity', 'paul23', 'azrel', 'D1ND0NN']",Bronze,2.0,"['Sova', 'Reyna', 'Sage', 'Jett', 'Miks']",212.952,1,2,1,13,8,1787587933,"Monday, August 24, 2026 04:12 PM"
62e24b19-3cd9-466a-9d7a-af6d03a0fe21,NIKE  vs  Adidas,Summit,Competitive,Reyna,Duelista,16,4,15,12,"['gkoss07', 'ChrisLaKras', 'valorat', 'valousniper09']",Bronze,2.0,"['KAY/O', 'Iso', 'Reyna', 'Sage', 'Brimstone']",207.905,1,1,0,8,13,1787577568,"Monday, August 24, 2026 01:19 PM"
25f06e32-4312-44f0-a026-c932de7f86f8,NIKE  vs  Adidas,Summit,Competitive,Reyna,Duelista,18,6,11,12,"['Shadow', 'mangemabeat69', 'Kalo', 'PoiSimox']",Bronze,2.0,"['Jett', 'Chamber', 'Clove', 'Omen', 'Reyna']",268.211,2,3,1,13,6,1787575554,"Monday, August 24, 2026 12:45 PM"
211ab8c0-6fa3-4818-9d07-9237712d072a,NIKE  vs  Adidas,Ascent,Competitive,Reyna,Duelista,17,4,11,11,"['LaMamyta', 'Kijuri', 'b4r0n', 'MEERKO']",Bronze,2.0,"['Sage', 'Fade', 'Miks', 'Reyna', 'Phoenix']",207.053,1,2,2,13,6,1787571966,"Monday, August 24, 2026 11:46 AM"
fde311d0-8360-4ba5-a30c-7bf192b1ca75,NIKE  vs  Adidas,Lotus,Competitive,Miks,Controlador,35,15,24,25,"['Twigs', 'zorox13', 'Pyriak', 'GeleodSama']",Bronze,3.0,"['Neon', 'Phoenix', 'Miks', 'Chamber', 'Sova']",273.235,2,0,1,18,16,1787610411,"Monday, August 24, 2026 10:26 PM"
b9414d27-51d3-46bc-97c9-954d4e557a50,NIKE  vs  Adidas,Pearl,Swiftplay,Reyna,Duelista,5,0,4,3,"['ctlyaa', 'cocobeloeil76', 'cherry', 'misa']",Unrated,,"['Reyna', 'Neon', 'Skye', 'Clove', 'Sage']",208.167,3,1,2,5,1,1787609703,"Monday, August 24, 2026 10:15 PM"
11051287-fbdd-4590-88ab-cdad43a22589,NIKE  vs  Adidas,Haven,Competitive,Sage,Centinela,5,4,15,5,"['Sam Gratouille', 'max721353', 'MilkD222', 'Blaizyyyy']",Bronze,3.0,"['Iso', 'Reyna', 'Sage', 'Fade', 'Miks']",113.333,1,3,0,5,13,1787602141,"Monday, August 24, 2026 08:09 PM"
16ff5e80-46cb-4fb1-acc6-c137870458d1,NIKE  vs  Adidas,Ascent,Swiftplay,Reyna,Duelista,13,2,5,13,"['ROSA PARKS', 'Harmaomao', 'jspquoimetre', 'HyZE']",Unrated,,"['Chamber', 'Sage', 'Jett', 'Reyna', 'Waylay']",395.556,2,0,1,5,4,1787600345,"Monday, August 24, 2026 07:39 PM"
5039904d-3e93-4bb3-97b8-de36a14f70c2,NIKE  vs  Adidas,Lotus,Competitive,Cypher,Centinela,18,4,15,17,"['Prince Bojji', 'LGZ Darkros81', 'Fourchette', 'TheDarkJay']",Bronze,3.0,"['Cypher', 'Neon', 'Tejo', 'Reyna', 'Brimstone']",249.524,3,0,2,13,8,1787598098,"Monday, August 24, 2026 07:01 PM"
8ca93cde-0c2e-4700-9350-343cb8582947,NIKE  vs  Adidas,Ascent,Competitive,KAY/O,Iniciador,12,12,25,10,"['HisFetcher', 'ziwars', 'Nyxhelm', 'ISRAHELL67']",Bronze,3.0,"['Raze', 'Clove', 'Phoenix', 'Gekko', 'KAY/O']",167.923,3,4,0,12,14,1787619950,"Tuesday, August 25, 2026 01:05 AM"
