id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
83d4ea01-be40-4b11-99e4-b5f5c11038c4,Teachece,Lotus,Competitive,Sova,Iniciador,12,2,14,7,"['ofra', 'PrendelYoe', 'carolina', 'Hmzz937']",Platinum,1,"['Jett', 'Chamber', 'Miks', 'Sova', 'Phoenix']",150.81,0,0,1,13,8,1787526063,"Sunday, August 23, 2026 11:01 PM"
0dfffe0f-bee0-4c54-8782-cbe80fc3b612,Teachece,Split,Competitive,Sova,Iniciador,17,4,13,10,"['GØÐ RicarDøpe', 'Danni19J', 'carolina', '67 pana miguel']",Platinum,1,"['Clove', 'Chamber', 'Sage', 'Sova', 'Yoru']",224.818,1,2,2,13,9,1787524008,"Sunday, August 23, 2026 10:26 PM"
954a5c64-969e-4a27-a576-830c9c6d80d3,Teachece,Sunset,Competitive,Neon,Duelista,8,2,14,3,"['carolina', 'MKOI Andresito', 'Roque', 'onlyfans usi']",Platinum,1,"['Clove', 'Iso', 'Neon', 'Chamber', 'Sova']",164.6,3,2,0,2,13,1787510855,"Sunday, August 23, 2026 06:47 PM"
72d1812c-721f-4202-897c-c76154fab59c,Teachece,Lotus,Competitive,Sova,Iniciador,14,5,15,6,"['MrRaS', 'onlyfans usi', 'carolina', 'MKOI Andresito']",Platinum,1,"['Raze', 'Gekko', 'Miks', 'Cypher', 'Sova']",192.381,1,2,0,8,13,1787508712,"Sunday, August 23, 2026 06:11 PM"
ee91fcb1-218a-4880-be8b-0dba39424cc5,Teachece,Haven,Competitive,Sova,Iniciador,10,3,13,8,"['TikTok Markkets', 'Clenbuterol', 'carolina', 'mini MONSTRUA']",Platinum,1,"['Sova', 'Phoenix', 'Jett', 'Miks', 'Sage']",251.357,1,2,0,1,13,1787319881,"Friday, August 21, 2026 01:44 PM"
22ad5f7e-9b87-4972-a618-8e93c33fcaf3,Teachece,Split,Competitive,Clove,Controlador,21,9,23,19,"['MKOI Andresito', 'BOF JotaFumeiro', 'PRX Nirwo', 'emkai']",Platinum,1,"['Cypher', 'Raze', 'Sage', 'Clove', 'KAY/O']",240.115,0,3,1,14,12,1787605234,"Monday, August 24, 2026 09:00 PM"
a7099fc0-b977-4f58-a84c-2b834c3afe60,Teachece,Ascent,Competitive,Sova,Iniciador,16,5,17,11,"['Darkkeww', 'ivancgcs', 'Zajkz', 'Kv ioioioio']",Platinum,1,"['Clove', 'Killjoy', 'Sova', 'Raze', 'Phoenix']",176.0,1,0,2,13,11,1787602511,"Monday, August 24, 2026 08:15 PM"
e3f656ce-1679-4a13-bbb3-6ab710500697,Teachece,Abyss,Competitive,Skye,Iniciador,6,7,16,5,"['carolina', 'ひよこの音', 'granainomaton', 'galaqctiq']",Platinum,1,"['Skye', 'Astra', 'Chamber', 'Jett', 'Waylay']",116.882,1,1,0,4,13,1787663345,"Tuesday, August 25, 2026 01:09 PM"
33e52ecc-2e35-4da5-8b12-84efa5c9d3a5,Teachece,Haven,Competitive,Sova,Iniciador,12,4,7,9,"['bou7a', 'porritas艾', 'o caos perfeito神', 'Larper']",Platinum,1,"['Omen', 'Phoenix', 'Yoru', 'Chamber', 'Sova']",206.25,1,0,1,13,3,1787699184,"Tuesday, August 25, 2026 11:06 PM"
8bef259c-f5a3-4bb5-8eee-425f27771e62,Teachece,Haven,Competitive,Sova,Iniciador,5,7,9,8,"['glitch', 'MKOI Andresito', 'Home Motoserra', 'GRR']",Platinum,1,"['Sova', 'Chamber', 'Iso', 'Phoenix', 'Brimstone']",119.938,0,2,1,13,3,1787751831,"Wednesday, August 26, 2026 01:43 PM"
