id_partida,jugador,mapa,modo,personaje,rol,kills,asistencias,muertes,headshots,compañeros,rango,subrango,composición,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,fecha,fecha_legible
b2d86ead-1cec-4538-be93-bc77e66acf4c,Kâi Ru,Summit,Competitive,Neon,Duelista,9,1,17,7,"['keiux', 'xpir1ng', 'dekspook', 'eita']",Radiant,,"['Yoru', 'Neon', 'Cypher', 'Fade', 'Clove']",136.3,4,5,0,7,13,1787563276,"Monday, August 24, 2026 09:21 AM"
6e3e8ef8-b746-4f13-a500-8d92eebd6282,Kâi Ru,Lotus,Competitive,Neon,Duelista,18,4,18,19,"['twitch shjin', 'En1gm4', 'walkingdead life', 'martin24']",Radiant,,"['Neon', 'Chamber', 'Fade', 'Jett', 'Clove']",249.955,5,4,0,9,13,1787529125,"Sunday, August 23, 2026 11:52 PM"
3be11aa0-d741-4b2f-9f56-455e089ec437,Kâi Ru,Haven,Competitive,Neon,Duelista,9,2,14,8,"['049', 'En1gm4', 'SPEEDY', 'RawL']",Radiant,,"['Neon', 'Viper', 'Sova', 'Chamber', 'Clove']",143.588,3,3,1,13,4,1787527226,"Sunday, August 23, 2026 11:20 PM"
1b97d800-d6b9-4513-85a1-99be43186d87,Kâi Ru,Summit,Competitive,Neon,Duelista,11,5,11,8,"['lolik', 'Verzide', 'Leuxy', 'Denji']",Radiant,,"['Clove', 'Vyse', 'Jett', 'Waylay', 'Neon']",204.438,6,2,2,13,3,1787464646,"Sunday, August 23, 2026 05:57 AM"
b0c1a4f4-b46f-48dd-b388-92b042cc0024,Kâi Ru,Lotus,Competitive,Neon,Duelista,23,2,13,14,"['Fleeex', '676767676767', 'anhedonia', 'Denji']",Radiant,,"['Chamber', 'Fade', 'Clove', 'Neon', 'Raze']",315.579,5,1,3,13,6,1787462089,"Sunday, August 23, 2026 05:14 AM"
01b5702b-3262-447a-930e-c517a99f0fcb,Kâi Ru,Ascent,Competitive,Neon,Duelista,27,10,16,25,"['Rapha', 'hzr', 'depiedra', 'kira']",Radiant,,"['Neon', 'Cypher', 'Sova', 'Phoenix', 'Clove']",323.417,3,1,1,13,11,1787724742,"Wednesday, August 26, 2026 06:12 AM"
5bf1781b-7bed-495d-9fa3-66879c33cc80,Kâi Ru,Split,Competitive,Neon,Duelista,11,4,10,10,"['Saba', 'floating on high', 'COLORS Juskay', 'butterfly']",Radiant,,"['Neon', 'Clove', 'Chamber', 'Fade', 'Jett']",203.0,3,2,2,13,3,1787720119,"Wednesday, August 26, 2026 04:55 AM"
12c17436-b58f-4a69-8c2f-a1a7d02e3ee5,Kâi Ru,Haven,Competitive,Neon,Duelista,17,3,9,13,"['Sunshiny', 'butterfly', 'ReJł', 'Rensz']",Radiant,,"['Jett', 'Clove', 'Sova', 'Cypher', 'Neon']",353.143,2,1,3,13,1,1787718609,"Wednesday, August 26, 2026 04:30 AM"
b7e72b7b-98cb-4cea-a985-252b22789474,Kâi Ru,Drift,Team Deathmatch,Reyna,Duelista,28,8,18,23,"['Metel', 'MENTALBREAKDANCE', 'ZIBIK', 'Jørdãn Żîrkzêê']",Unrated,,"['Reyna', 'Skye', 'Jett', 'Raze', 'Chamber']",8066.0,0,0,4,100,89,1787710100,"Wednesday, August 26, 2026 02:08 AM"
b48a1acb-d847-4e0f-85c9-107e4c2f0ca1,Kâi Ru,Piazza,Team Deathmatch,Reyna,Duelista,32,2,16,26,"['Jørdãn Żîrkzêê', 'MENTALBREAKDANCE', 'ZIBIK', 'kun aguero']",Unrated,,"['Reyna', 'Jett', 'Gekko', 'Raze', 'Neon']",8360.0,0,1,5,100,73,1787709560,"Wednesday, August 26, 2026 01:59 AM"
d7badb4a-395e-4eca-b820-24041685ae65,Kâi Ru,Sunset,Competitive,Neon,Duelista,17,5,14,12,"['xpir1ng', 'sphinx', 'kofun', 'Aimar']",Radiant,,"['Neon', 'Jett', 'Clove', 'Sova', 'Chamber']",241.3,4,2,1,13,7,1787741166,"Wednesday, August 26, 2026 10:46 AM"
45c7ad7a-7c0f-4c5c-878f-81de6eff38ef,Kâi Ru,Abyss,Competitive,Neon,Duelista,10,4,11,3,"['xpir1ng', 'noctis', 'false genius', 'Butterfly']",Radiant,,"['Chamber', 'Jett', 'Astra', 'Neon', 'Vyse']",195.067,1,3,2,13,2,1787737965,"Wednesday, August 26, 2026 09:52 AM"
fbab88af-59fc-4754-91d9-d80ab2762096,Kâi Ru,Abyss,Competitive,Neon,Duelista,6,2,17,8,"['mutu', 'Browser', 'Jeppe', 'chenz']",Radiant,,"['Chamber', 'Neon', 'Clove', 'Reyna', 'Waylay']",113.294,1,3,0,4,13,1787839066,"Thursday, August 27, 2026 01:57 PM"
a632d6d9-c9f5-4f5e-8332-3ef7a494cf3d,Kâi Ru,Summit,Competitive,Neon,Duelista,14,5,20,12,"['mutu', 'Aysheesh', 'Vitie', 'QAD sickrey']",Radiant,,"['Neon', 'Jett', 'Cypher', 'Omen', 'Fade']",193.545,4,4,0,9,13,1787836747,"Thursday, August 27, 2026 01:19 PM"
adec1615-5eff-4963-84ba-46cb73282adf,Kâi Ru,Ascent,Competitive,Neon,Duelista,15,2,14,12,"['Bogdan', 'WINLINE Samuraj', 'BB relaxcis', 'mutu']",Radiant,,"['Omen', 'Phoenix', 'Neon', 'Sova', 'Jett']",222.5,2,4,1,13,5,1787835078,"Thursday, August 27, 2026 12:51 PM"
12f9806e-f7e5-41af-ba6c-a3b87f3af423,Kâi Ru,Lotus,Competitive,Neon,Duelista,14,3,17,15,"['mutu', 'lost in misery', 'seebyG', 'oki doki dostlar']",Radiant,,"['Chamber', 'Neon', 'Fade', 'Phoenix', 'Omen']",218.053,3,1,0,6,13,1787832856,"Thursday, August 27, 2026 12:14 PM"
c11ac169-0017-473b-bd04-3f137072b816,Kâi Ru,Lotus,Competitive,Neon,Duelista,19,7,19,19,"['Ариша', 'GMB DrastZ', 'mutu', 'emôjnox']",Radiant,,"['Clove', 'Sage', 'Neon', 'Chamber', 'Fade']",277.762,0,2,0,8,13,1787829701,"Thursday, August 27, 2026 11:21 AM"
088701e2-5886-46c4-af5f-120648af1b23,Kâi Ru,Split,Competitive,Neon,Duelista,17,4,20,12,"['Bjorn', 'Bezwans', 'Varay', 'Sefa']",Radiant,,"['Neon', 'Cypher', 'Fade', 'Clove', 'Jett']",189.042,3,7,1,13,11,1787874386,"Thursday, August 27, 2026 11:46 PM"
ff6f985d-9c52-4e59-9c81-725456f99d16,Kâi Ru,Haven,Competitive,Neon,Duelista,28,5,18,19,"['Flory', 'Reacher', 'En1gm4', 'ROBLOXAIMGOD1']",Radiant,,"['Chamber', 'Clove', 'Neon', 'Sova', 'Jett']",304.269,4,5,1,14,12,1787896360,"Friday, August 28, 2026 05:52 AM"
16e9a7bd-33a5-4d9b-8645-52e7e8609d6b,Kâi Ru,Lotus,Competitive,Neon,Duelista,23,6,16,22,"['slove', 'C1rus', 'BJK oroni', 'B4K']",Radiant,,"['Clove', 'Reyna', 'Neon', 'Waylay', 'Chamber']",273.261,2,2,2,13,10,1787893612,"Friday, August 28, 2026 05:06 AM"
cd4a4cbd-90f6-45e4-a049-a8e0a083faf2,Kâi Ru,Summit,Competitive,Neon,Duelista,16,6,16,19,"['En1gm4', 'fredoxie', 'qwefqwefqwfe', 'foe']",Radiant,,"['Clove', 'Neon', 'Waylay', 'Fade', 'Chamber']",212.409,2,7,3,13,9,1787887940,"Friday, August 28, 2026 03:32 AM"
d50dea8b-5726-48e7-b865-ce97727196f2,Kâi Ru,Split,Competitive,Neon,Duelista,14,10,19,10,"['Ca6Jle3y6', 'gambling addict', 'C1rus', 'hibou']",Radiant,,"['Chamber', 'Clove', 'Reyna', 'Skye', 'Neon']",194.238,3,2,4,13,8,1787884577,"Friday, August 28, 2026 02:36 AM"
bb341869-ffa4-4ac0-9689-e8ede0490091,Kâi Ru,Sunset,Competitive,Neon,Duelista,10,5,20,8,"['Ekko', 'ENESUA', 'C1rus', 'Yozora']",Radiant,,"['Clove', 'Sova', 'Neon', 'Reyna', 'Cypher']",141.091,2,7,0,9,13,1787881051,"Friday, August 28, 2026 01:37 AM"
1f35d534-76a0-45f8-ad74-6fbaeb8e2ffc,Kâi Ru,Lotus,Competitive,Neon,Duelista,12,3,23,10,"['MrBadexx', 'mutu', 'Kr7t', 'PXU DaBengoo']",Radiant,,"['Neon', 'Fade', 'Chamber', 'Omen', 'Phoenix']",141.808,2,3,1,14,12,1788009757,"Saturday, August 29, 2026 01:22 PM"
9abf37db-7c05-4bce-a2eb-bf6c59c2fb29,Kâi Ru,Abyss,Competitive,Neon,Duelista,22,3,24,16,"['Yoshi', 'En1gm4', 'emilio', 'avoKK']",Radiant,,"['Sova', 'Cypher', 'Neon', 'Jett', 'Astra']",204.1,4,7,2,16,14,1787994158,"Saturday, August 29, 2026 09:02 AM"
d70b9691-1a97-4929-9e87-3fe4e7e3ebb2,Kâi Ru,Split,Competitive,Neon,Duelista,16,3,20,18,"['heyhi334', 'Cosmo', 'angel doué', 'En1gm4']",Radiant,,"['Clove', 'Waylay', 'Fade', 'Cypher', 'Neon']",202.524,4,3,0,8,13,1787992063,"Saturday, August 29, 2026 08:27 AM"
4c83509b-223c-4b88-b12e-86c5a6d397b2,Kâi Ru,Haven,Competitive,Jett,Duelista,16,1,14,7,"['asian gymrat', 'Denji', '9KOK FANZENZERA', 'allo zane']",Radiant,,"['Neon', 'Iso', 'Jett', 'Chamber', 'Clove']",224.778,1,1,1,13,5,1787985072,"Saturday, August 29, 2026 06:31 AM"
f6f3df25-0d40-4d3c-a843-cdd032e43312,Kâi Ru,Lotus,Competitive,Neon,Duelista,19,0,18,12,"['Giulia', 'sailor', 'TKR', 'it is my fault']",Radiant,,"['Neon', 'Clove', 'Jett', 'Chamber', 'Iso']",239.591,3,2,0,9,13,1787982537,"Saturday, August 29, 2026 05:48 AM"
9be85cdc-01a0-43fb-b48f-6f4d30e238ed,Kâi Ru,Sunset,Competitive,Neon,Duelista,12,5,15,15,"['mutu', 'Toji', 'ShowMaker', 'jacobin']",Radiant,,"['Waylay', 'Neon', 'Cypher', 'Fade', 'Omen']",198.056,4,4,0,5,13,1788013794,"Saturday, August 29, 2026 02:29 PM"
e38371aa-5979-4418-ab1b-5ab65d968aee,Kâi Ru,Haven,Competitive,Neon,Duelista,19,6,19,15,"['famous', 'save that sh3t', 'RUSSEL WESTBROOK', 'am i dreaming']",Radiant,,"['Clove', 'Sova', 'Reyna', 'Jett', 'Neon']",222.615,3,5,1,14,12,1788064284,"Sunday, August 30, 2026 04:31 AM"
211b10a8-1009-4cb4-8bba-5f6d3e297f9c,Kâi Ru,Abyss,Competitive,Neon,Duelista,16,5,20,11,"['save that sh3t', 'Festryx', 'ZoX', 'Louda']",Radiant,,"['Neon', 'Astra', 'Tejo', 'Phoenix', 'Jett']",200.625,7,5,0,11,13,1788062025,"Sunday, August 30, 2026 03:53 AM"
85276936-f588-41eb-8dcc-b91b0a6f3ff6,Kâi Ru,Split,Competitive,Neon,Duelista,22,6,16,20,"['spez1paulaner', 'sofia', 'ph0s4', 'Aura']",Radiant,,"['Jett', 'Clove', 'Neon', 'Reyna', 'Sage']",317.421,3,4,1,13,6,1788059848,"Sunday, August 30, 2026 03:17 AM"
