id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
40eac06c-89b5-408d-893c-277ede158430,Split,30,8,20,10,Silver,3.0,324.269,5,2,3,14,12,0,2,2
bcd3b7d8-741e-48e5-ada1-b56a5dc06ad6,Breeze,9,1,20,4,Silver,3.0,136.6,3,1,0,7,13,1,0,4
87c87918-a588-409c-9f74-1ac710af8284,Haven,6,3,15,1,Silver,3.0,100.0,0,3,0,3,11,1,0,4
e5a62072-25e2-468e-bcda-448d910e2341,Ascent,27,2,11,11,Silver,3.0,348.682,7,2,1,13,9,0,1,3
d30299de-a88f-4288-9d9a-5efd23543009,Split,30,10,21,24,Silver,3.0,369.346,4,4,0,12,14,0,1,3
0ec0f61a-b33c-4f21-ae3a-47e0129057be,Haven,26,6,15,18,Unrated,,342.682,3,1,0,9,13,0,1,3
11941135-f687-43b1-967b-144499b39713,Sunset,39,5,21,24,Silver,3.0,394.786,5,4,0,14,14,0,2,2
d7965452-51c0-4a7e-93d1-e38be6393e7e,Lotus,18,6,15,13,Silver,3.0,285.947,2,4,0,6,13,0,2,2
593b2f9e-61ed-4227-8b92-c7bc334493ba,Summit,30,13,18,18,Silver,3.0,337.462,4,1,1,14,12,0,2,2
492ffba2-951b-4036-83e1-1204b2ae5b8c,Split,23,5,16,15,Silver,3.0,333.857,2,3,0,8,13,0,2,2
1dbd2787-150c-4d14-bfca-e549eab1ffe7,Sunset,28,5,12,15,Silver,3.0,345.0,4,2,1,13,10,1,2,2
7f0d00af-a1d2-4519-9aea-1889ec5b0e65,Lotus,21,4,16,17,Silver,3.0,323.55,5,2,0,7,13,0,2,2
f63aa389-0057-41ed-ab36-a1625597c462,Abyss,26,7,15,12,Silver,3.0,338.955,3,1,1,13,9,0,2,2
6b41ba6b-a035-4c98-9daf-5be76ebc9b88,Sunset,12,5,11,8,Silver,3.0,252.667,2,3,0,2,10,0,2,2
c1776d95-ba49-4d9d-b91d-df26b1c2aa83,Abyss,16,9,22,7,Silver,3.0,173.75,3,6,0,14,14,0,1,3
a0555fb5-de6e-43d3-aab0-dca23aebfc53,Abyss,11,6,12,7,Silver,3.0,166.421,0,0,1,13,6,1,1,3
77e6bb9b-125f-4784-957a-463e89177236,Summit,13,4,14,7,Silver,3.0,178.6,2,2,1,13,7,0,3,1
1d409ecd-7029-4ee6-bbe0-95d2b5bc4160,Lotus,6,4,3,4,Silver,3.0,122.385,0,0,2,6,0,0,3,1
04ce9d1a-478c-4a84-a1f2-8c9b160ca343,Ascent,13,12,14,7,Silver,3.0,186.652,0,2,0,10,13,1,3,1
29a78e14-1064-4751-abbe-d8c218df73a7,Lotus,11,6,17,2,Silver,3.0,141.739,0,1,1,13,10,0,1,3
3e0d1501-1d58-45da-93e1-e6eb6c7cd81c,Haven,7,5,19,4,Silver,3.0,99.087,0,2,0,10,13,1,1,3
eef5fa65-937d-4a6e-868e-00bd8ce0b2a3,Ascent,19,2,16,13,Silver,3.0,289.632,1,3,0,6,13,0,4,0
0dd4d7ca-ce1f-4bbb-8f5e-b4f793e66456,Abyss,18,8,21,7,Silver,3.0,231.913,0,3,1,13,10,1,1,3
50043dff-7a09-4e71-8aca-0c55b3030679,Ascent,10,2,16,4,Silver,3.0,146.0,0,0,0,6,13,0,1,3
a4113ac4-cd7c-49ac-beda-0353ca8d4c75,Sunset,16,4,11,8,Silver,3.0,209.95,2,2,1,13,7,0,1,3
2040e1ef-3c7f-4fac-b79d-0ccee038cae7,Split,40,14,16,22,Silver,3.0,484.696,4,6,2,13,10,0,2,2
d1cfaf35-e01c-4557-8924-c33540c3a362,Split,23,1,14,13,Silver,3.0,298.524,3,1,0,8,13,0,2,2
d37d932f-7da5-4995-a70b-657eb1167d75,Haven,28,8,14,11,Silver,3.0,338.292,4,0,1,13,11,1,2,2
