id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
9bba7c3e-c4d6-411a-a98d-64cf3fa5028f,Sunset,3,2,5,1,Silver,1.0,58.875,1,0,0,3,10,1,0,4
28011553-e480-4321-8673-cafef814ac3e,Ascent,8,3,11,4,Silver,1.0,168.0,1,2,0,1,13,0,1,3
83b5ad5d-1c6b-44f7-b2b3-ff43acff89cb,Split,13,2,15,8,Silver,1.0,175.8,0,2,0,7,13,0,1,3
de195afb-72a7-406f-907b-f8f4a9829ba0,Abyss,19,4,15,7,Silver,1.0,215.208,2,3,1,13,11,0,1,3
4e615a17-d550-4817-b39c-8cf33abb205a,Abyss,18,7,18,6,Silver,1.0,223.043,2,2,0,10,13,0,1,3
38c499e7-7a37-4564-af95-2d5c9cbfc2b0,Haven,16,6,19,4,Silver,1.0,209.708,5,4,0,11,13,0,0,4
2109f622-47bc-4a52-b92f-f40387711dd4,Lotus,18,4,21,5,Silver,1.0,238.783,4,4,0,10,13,1,0,4
c4bd42b7-9229-414a-88ec-c14d2b967be5,Abyss,18,3,18,7,Bronze,3.0,213.038,2,6,0,12,14,0,0,4
9ee2a731-1cbf-4750-a74a-211be75fbdd2,Lotus,21,4,16,8,Silver,1.0,257.87,3,3,0,10,13,1,0,4
f2001975-8bc8-46e9-895f-7525d4c07cb0,Abyss,13,1,15,7,Bronze,3.0,235.25,1,3,0,3,13,0,1,3
f7e8a8a4-bfc3-4b94-a768-8e8ba42aa6ea,Sunset,16,7,18,6,Bronze,3.0,249.905,2,5,0,8,13,1,1,3
9d8ca551-abda-472b-a3b0-ec4f7e3ea747,Lotus,3,1,9,3,Bronze,3.0,83.385,0,2,0,0,9,0,1,3
24ebd08b-c4af-4648-a2cf-a1e592f9522a,Ascent,16,5,11,4,Bronze,3.0,224.444,3,3,1,13,5,0,1,3
a6d84bf7-8738-44ce-bf3e-a985481dcb7c,Haven,22,3,12,5,Bronze,3.0,290.05,2,2,1,13,7,0,1,3
c4395815-3e3b-4c77-8272-aeb30a98d875,Split,12,2,16,4,Bronze,3.0,202.235,2,2,0,4,13,0,1,3
72f1fb4b-b140-47f0-a79c-3732de234f5c,Sunset,24,7,20,6,Bronze,3.0,281.75,3,2,0,11,13,1,1,3
cd2b8c48-f7f7-416e-90ba-b7cb7a4e2f9d,Split,3,1,7,3,Bronze,3.0,66.214,1,0,0,1,6,0,0,4
257c5e77-d268-4be9-8ee1-886113bd6e7e,Sunset,14,10,22,5,Bronze,3.0,205.542,2,4,0,11,13,0,1,3
3bbe7dca-e644-482c-a241-d9711f06a4d2,Sunset,9,4,13,4,Bronze,3.0,142.263,0,0,1,13,6,0,1,3
32a10533-2780-4fa1-b1f2-89742b9913a7,Haven,18,7,15,5,Bronze,3.0,248.45,1,2,2,13,7,0,1,3
7af2ec3f-d7da-4788-92dd-e1afc14f2c33,Summit,20,4,15,9,Bronze,3.0,275.952,4,1,3,13,8,1,0,4
5e9cb011-9524-4ced-a1b6-6d5e23d90aaa,Summit,21,8,15,12,Bronze,3.0,273.913,5,1,4,13,10,1,0,4
21c8d478-c555-45eb-b4e6-8f6971b7bf06,Sunset,18,6,22,5,Silver,1.0,198.885,4,4,1,14,12,1,0,4
7e90554e-0222-477f-b882-5be7456002f2,Lotus,15,10,14,6,Silver,1.0,227.842,2,1,2,13,6,0,1,3
26c8fb31-4eb0-42e7-9877-2a22c5565222,Split,8,5,17,2,Silver,1.0,123.143,0,3,0,8,13,1,1,3
5c94e849-dab9-4af3-9400-4f85992175bd,Haven,16,4,14,4,Bronze,3.0,225.65,2,3,1,13,7,0,1,3
ca749432-dd05-4235-b142-dc5f3863103f,Split,6,3,4,2,Bronze,3.0,130.077,2,1,2,6,0,1,1,3
8dfb9149-9a07-4320-ae3c-e5c9096d6ecb,Split,23,2,22,6,Silver,1.0,229.179,5,6,1,15,13,0,1,3
a7df6cdc-c692-4985-991b-d92f390af2cb,Haven,12,2,15,3,Silver,1.0,202.222,0,3,0,5,13,1,1,3
83089c45-c954-4abb-8637-88f523ae5772,Summit,13,4,16,6,Silver,1.0,174.304,1,3,1,13,10,0,1,3
