id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
7fc5aef3-7998-4f3f-b767-856d3a7d3e56,Summit,11,5,18,11,Bronze,3,139.917,3,3,0,11,13,1,0,4
3e3b7c5b-da15-42a5-bd5d-32cd22a46126,Split,9,8,8,6,Bronze,3,151.176,2,1,1,13,4,0,4,0
45952039-6502-4737-8648-0dc20cc80f51,Abyss,13,4,9,3,Bronze,3,206.722,2,2,2,13,5,0,1,3
9cd1c31e-5dd3-4d40-8384-23f45235045d,Sunset,8,2,18,2,Bronze,3,88.391,1,3,0,10,13,0,0,4
a11063d1-0d9b-46ca-b2d6-45f12c3d48c6,Ascent,16,3,15,4,Bronze,3,204.048,3,0,1,13,8,0,0,4
085a2879-59d2-4fd4-8658-37964d1ddcd8,Summit,10,3,17,12,Bronze,3,139.381,0,1,0,8,13,1,0,4
a4720439-6a0d-4b1b-972e-688682861f43,Lotus,12,3,17,7,Bronze,3,147.348,1,4,0,10,13,1,0,4
998c95b7-09c3-4952-a083-07c9441c97f9,Abyss,34,5,19,22,Bronze,3,310.733,3,1,0,14,16,0,0,4
627f65ae-b3f6-4e2f-8802-5140ee62a662,Ascent,6,4,9,3,Bronze,3,104.556,1,1,1,13,5,1,0,4
4333c10b-808f-4f79-8816-d6946b91c77a,Sunset,17,2,15,8,Bronze,3,248.421,3,3,0,6,13,1,0,4
6418f160-e47e-4ae9-a7d4-6f30d83af960,Lotus,15,7,12,10,Bronze,3,218.684,3,3,1,13,6,1,0,4
cd886370-139c-42d3-b0db-2135dee7b82a,Sunset,9,1,15,5,Bronze,3,146.611,1,1,0,5,13,0,0,4
7aabf3fa-d10f-4b38-98ba-29c9e3466b9f,Split,15,7,17,9,Bronze,2,166.957,0,0,1,13,10,0,0,4
1e409fb7-3fbf-4e69-b2ea-07562dcf3d14,Abyss,5,0,10,2,Bronze,2,110.929,1,0,0,1,10,1,0,4
22697087-2ee0-4008-922d-d61fc49a289a,Abyss,11,4,17,5,Bronze,3,181.211,1,1,0,6,13,0,0,4
2fcf2e91-8eb8-41c4-9dca-aa4e993a56f7,Summit,11,3,14,8,Bronze,2,143.619,0,2,1,13,8,1,0,4
3d8fd28a-497a-4953-9559-27874f844563,Ascent,26,3,9,20,Bronze,2,420.353,8,0,1,13,4,1,0,4
98f7d11b-44f5-4116-8bb0-0934be4615c1,Haven,13,1,14,8,Bronze,3,185.19,2,1,0,8,13,0,0,4
42ffbf45-6507-42b2-b605-c73f362a95b6,Summit,11,5,13,6,Bronze,3,155.211,2,3,0,6,13,0,0,4
