id_partida,mapa,kills,asistencias,muertes,headshots,rango,subrango,acs,fb,fd,racha,rondas_ganadas,rondas_perdidas,es_main,num_amigos,desconocidos
f3f53d0f-fc5e-4157-b12f-377ce15628b4,Haven,16,4,16,13,Platinum,2.0,215.048,2,3,0,8,13,1,0,4
1e176474-f1a2-4825-8cd7-f785958ab012,Split,12,5,11,7,Platinum,2.0,213.0,1,0,1,13,3,0,0,4
32eaee06-fe22-4bf2-a0d9-ea341f6c4105,Haven,20,2,12,13,Unrated,,265.81,4,2,2,13,8,0,1,3
81b8e702-e0d0-416a-814b-bea229aa0ef9,Split,9,2,10,6,Platinum,2.0,144.647,0,0,1,13,4,0,0,4
e60f0d35-d99f-4591-9747-ceb945ad5989,Lotus,15,3,18,13,Platinum,2.0,187.958,0,2,0,11,13,0,0,4
721c2e23-dd12-4c00-b3ca-316223d1225a,Haven,24,4,10,12,Platinum,2.0,368.5,6,4,1,13,7,1,0,4
80eff50f-355f-4be3-b471-ab6c65ee6e01,Summit,18,4,15,12,Platinum,2.0,220.261,3,1,0,10,13,1,0,4
3f65f85b-f477-4d2d-9667-c02c0a99e8fe,Abyss,11,10,18,5,Platinum,2.0,139.174,1,1,0,10,13,1,0,4
e28ce5eb-80dd-4815-b22e-76c46c646528,Lotus,15,6,18,9,Platinum,2.0,169.125,2,1,0,11,13,1,0,4
7a809d38-e764-4b15-8f66-44421fb20ba7,Lotus,19,1,14,9,Platinum,2.0,236.913,4,2,1,13,10,1,0,4
93774b78-e646-4348-bef1-a33a1bd7ee1d,Haven,8,6,10,6,Platinum,2.0,116.895,2,0,1,13,6,1,0,4
8f54432c-3bbd-44f1-bd50-14440658e848,Ascent,32,4,21,18,Platinum,2.0,303.967,2,4,0,15,15,0,0,4
3d50a2d8-e900-418f-b119-d7e41086d22d,Haven,28,10,19,18,Platinum,2.0,252.733,1,1,2,16,14,1,0,4
1f7a635d-6a7a-4e96-a679-921fcb7a5649,Sunset,12,1,16,9,Platinum,2.0,202.211,2,1,0,6,13,0,0,4
a2355c55-fdff-400e-8eb5-3e34e342d889,Lotus,19,10,12,15,Platinum,2.0,238.652,1,3,1,13,10,1,0,4
c3bd66e6-3b5c-4133-9fa8-a072571653e7,Ascent,26,5,16,19,Platinum,2.0,258.571,4,0,0,13,15,1,0,4
260d18fd-e00a-468f-b18a-e3a843b1393f,Haven,11,2,14,5,Platinum,2.0,140.55,1,3,1,13,7,0,0,4
f833516f-7d92-476e-b736-509803b15692,Abyss,20,4,16,10,Platinum,2.0,239.696,1,1,0,10,13,0,1,3
b4cb9118-0211-4df1-afd9-d60a2a2aec74,Lotus,17,8,19,9,Platinum,2.0,155.321,0,1,0,13,15,1,1,3
